babue_id|Karton|Name|Wikidata ID
1-001|Karton 1|Achenbach, Andreas (1815-1910)|Q76416
1-002|Karton 1|Achenbach, Oswald (1827-1905)|Q76415
1-003|Karton 1|Adam, Albrecht (1786-1862)|Q723297
1-004|Karton 1|Adam, Benno (1812-1892)|Q564471
1-005|Karton 1|Adam, Julius (1821-1874)|Q24700826
1-006|Karton 1|Adrion, Lucien (1889-1935)|Q1873356
1-007|Karton 1|Ajdukiewicz, Thaddeus von (1852-1916)|Q981439
1-008|Karton 1|Ajdukiewicz, Zygmunt (1861-1916)|Q245311
1-009|Karton 1|André, Jules (1807-1869)|Q324146
1-010|Karton 1|Appian, Adolphe (1818-1898)|Q365656
1-011|Karton 1|Arlt, Fritz (1887-1966)|Q86582750
1-012|Karton 1|Astudin, Nicolai von (1847-1925)|Q1991063
1-013|Karton 1|Baisch, Hermann (1846-1894)|Q203661
1-014|Karton 1|Bamberger, Fritz (1814-1873)|Q188169
1-015|Karton 1|Barye, Antoine Louis (1795/96-1875)|Q451489
1-016|Karton 1|Bastien-Lepage, Jules (1848-1884)|Q541859
1-017|Karton 1|Baumgartner, Peter (1834-1911)|Q19923632
1-018|Karton 1|Becker, Carl (1820-1900)|Q317492
1-019|Karton 1|Beckmann, Hans (Johannes) (1809–1882)|Q61466902
1-020|Karton 1|Benczùr, Gyula (1844-1920)|Q632046
1-021|Karton 1|Bergeret, Denis Pierre (1846-1910)|Q3022541
1-022|Karton 1|Beul, Laurent de (1841-1872)|Q2775524
1-023|Karton 1|Blaas, Eugen von (1843-1931)|Q715036
1-024|Karton 1|Blechen, Carl (1798-1840)|Q149571
1-025|Karton 1|Blommers, Bernardus-Johannes (1845-1914)|Q2580663
1-026|Karton 1|Böhm, Pál (1839-1905)|Q855047
1-027|Karton 1|Bonheur, Auguste (1824-1884)|Q2871069
1-028|Karton 1|Bonheur, Rosa (1822-1899)|Q241732
1-029|Karton 1|Bonnard, Pierre (1867-1947)|Q26408
1-030|Karton 1|Bonvin, François (1817-1887)|Q1357683
1-031|Karton 1|Boudin, Eugène (1824-1898)|Q212600
